,Location,2020-06-01 00:00:00,2020-05-31 00:00:00,2020-05-30 00:00:00,2020-05-29 00:00:00,2020-05-28 00:00:00,2020-05-27 00:00:00,2020-05-26 00:00:00,2020-05-25 00:00:00,2020-05-24 00:00:00,2020-05-23 00:00:00,2020-05-22 00:00:00,2020-05-21 00:00:00,2020-05-20 00:00:00,2020-05-19 00:00:00,2020-05-18 00:00:00,2020-05-17 00:00:00,2020-05-16 00:00:00,2020-05-15 00:00:00,2020-05-14 00:00:00,2020-05-13 00:00:00,2020-05-12 00:00:00,2020-05-11 00:00:00,2020-05-10 00:00:00,2020-05-09 00:00:00,2020-05-08 00:00:00,2020-05-07 00:00:00,2020-05-06 00:00:00,2020-05-05 00:00:00,2020-05-04 00:00:00,2020-05-03 00:00:00,2020-05-02 00:00:00,2020-05-01 00:00:00,2020-04-30 00:00:00,2020-04-29 00:00:00,2020-04-28 00:00:00,2020-04-27 00:00:00,2020-04-26 00:00:00,2020-04-25 00:00:00,2020-04-24 00:00:00,2020-04-23 00:00:00,2020-04-22 00:00:00,2020-04-21 00:00:00,2020-04-20 00:00:00,2020-04-19 00:00:00,2020-04-18 00:00:00,2020-04-17 00:00:00,2020-04-16 00:00:00,2020-04-15 00:00:00,2020-04-14 00:00:00,2020-04-13 00:00:00,2020-04-12 00:00:00,2020-04-11 00:00:00,2020-04-10 00:00:00,2020-04-09 00:00:00,2020-04-08 00:00:00,2020-04-07 00:00:00,2020-04-06 00:00:00,2020-04-05 00:00:00,2020-04-04 00:00:00,2020-04-03 00:00:00,2020-04-02 00:00:00,2020-04-01 00:00:00,2020-03-31 00:00:00,2020-03-30 00:00:00,2020-03-29 00:00:00,2020-03-28 00:00:00,2020-03-27 00:00:00,2020-03-26 00:00:00,2020-03-25 00:00:00,2020-03-24 00:00:00,2020-03-23 00:00:00,2020-03-22 00:00:00,2020-03-21 00:00:00,2020-03-20 00:00:00,2020-03-19 00:00:00,2020-03-18 00:00:00,2020-03-17 00:00:00,2020-03-16 00:00:00,2020-03-15 00:00:00,2020-03-14 00:00:00,2020-03-13 00:00:00,2020-03-12 00:00:00,2020-03-11 00:00:00,2020-03-10 00:00:00,2020-03-09 00:00:00,2020-03-08 00:00:00
1,B. Baria,0,0,0,0,1,14,1,,10,3,20,,0,0,Not Given,7,0,1,1,Not Given,1,0,0,0,1,0,0,1,11,1,0,3,3,2,0,4,2,4,0,1,13,0,0,1,1,1,0,0,2,0,2,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bagerhat,2,17,0,0,1,0,4,,0,0,2,,0,3,,2,0,0,1,,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bandarban,3,5,2,3,4,0,2,,0,11,1,,1,1,,1,0,0,0,,1,0,0,0,0,0,0,-3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Barguna,0,23,0,0,0,0,0,,0,6,1,,0,0,,0,0,0,0,,0,0,2,1,0,1,0,-3,0,3,0,3,0,0,0,7,7,0,3,3,0,5,2,1,4,1,0,1,0,0,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Barisal,0,0,0,2,0,0,0,,4,0,3,,1,0,,0,0,1,3,,1,1,6,0,1,3,3,0,0,1,0,0,0,0,2,0,0,3,1,0,2,8,3,3,1,5,2,3,5,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bhola,23,0,0,0,9,0,0,,0,1,0,,0,1,,1,0,0,1,,0,3,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bogra,0,-2,22,0,0,0,0,,59,47,27,,7,11,,16,0,0,11,,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,6,1,0,5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Chandpur,4,18,0,0,2,0,4,,0,13,4,,0,5,,2,2,3,18,,0,1,0,12,1,5,10,12,0,0,0,1,1,2,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,2,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Chapainawabganj,0,8,0,2,3,3,0,,0,2,3,,5,21,,0,0,0,0,,1,0,0,2,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Chattogram,24,153,62,88,190,38,203,,151,216,240,,160,245,,76,66,56,183,,48,46,13,48,19,28,7,23,2,2,3,1,4,3,11,8,2,1,0,3,1,0,4,1,1,1,5,11,2,6,4,2,0,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Chuadanga,6,0,4,1,0,0,2,,0,-3,0,,0,2,,8,38,0,11,,5,2,0,0,8,0,5,1,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Cox’s bazar,64,98,68,60,38,35,73,,33,46,51,,33,14,,24,22,12,20,,12,12,6,5,19,13,1,2,0,0,0,14,3,1,6,0,7,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Cumilla,111,75,0,18,73,43,104,,51,57,25,,29,73,,20,19,34,39,,4,11,2,19,15,5,18,7,0,1,5,6,12,34,5,1,2,7,5,0,2,4,2,2,2,1,0,0,5,0,1,3,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Dhaka (District),13,414,0,12,21,3,56,,78,17,94,,7,84,,23,15,6,8,,4,25,3,3,8,27,37,16,5,1,0,10,4,7,3,6,8,7,11,1,4,6,2,6,6,0,0,0,4,2,4,2,3,7,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Dhaka City,445,428,470,237,556,649,546,,497,212,1088,,1501,939,,642,330,349,560,,409,616,236,261,276,212,448,446,281,190,336,222,328,416,290,232,257,168,377,213,241,55,200,131,103,132,90,62,73,70,62,14,41,73,123,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Dinajpur,0,0,26,1,1,0,3,,1,22,16,,6,11,,3,6,1,3,,1,0,4,2,5,2,8,1,-1,0,0,1,2,2,2,0,1,0,0,0,2,0,1,1,1,0,1,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Faridpur,0,51,0,0,25,0,12,,1,1,27,,37,13,,1,4,4,15,,1,7,3,0,0,0,6,1,1,0,0,1,0,3,0,0,0,1,1,1,1,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Feni,5,58,5,44,13,0,3,,0,1,2,,0,14,,28,22,1,12,,4,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Gaibandha,3,0,8,0,4,1,0,,4,4,1,,0,0,,0,0,1,0,,0,0,1,0,0,0,0,1,-2,1,3,0,1,1,2,1,0,2,0,1,0,0,1,0,0,0,0,4,2,0,1,0,0,3,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Gazipur,7,430,0,6,11,9,38,,27,-17,22,,4,8,,18,19,30,113,,9,5,1,2,2,0,2,1,1,2,0,0,2,2,3,7,47,14,2,23,0,0,96,12,44,19,45,0,18,12,11,6,4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Gopalganj,-1,65,0,0,3,0,22,,1,9,15,,3,32,,1,4,13,3,,4,2,6,1,4,0,1,-3,2,0,0,0,0,2,0,1,3,3,3,5,5,0,9,0,4,0,8,0,6,0,1,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Habiganj,0,-5,8,0,0,4,0,,3,25,21,,0,0,,12,0,0,19,,7,1,3,0,0,0,1,0,2,0,12,2,1,4,0,1,6,20,3,5,2,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Jamalpur,0,-1,0,0,0,0,13,,8,10,23,,0,32,,2,5,1,2,,0,0,6,2,23,0,5,1,0,7,0,5,3,6,7,0,8,7,0,1,7,1,1,3,5,0,0,3,3,0,3,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Jessore,4,4,0,0,0,2,2,,0,24,0,,7,1,,2,17,0,5,,5,0,0,0,4,0,1,11,0,0,0,0,1,26,10,4,15,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Jhalokathi,0,0,0,3,0,0,1,,0,9,1,,0,0,,2,0,1,0,,0,0,0,0,0,3,0,0,0,2,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Jhenaidah,5,2,0,0,0,0,0,,1,0,1,,1,1,,0,1,0,2,,1,2,0,4,1,0,6,8,0,0,0,0,0,0,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Joypurhat,23,0,5,0,0,0,0,,10,27,1,,0,28,,0,13,1,0,,8,5,3,0,2,3,0,1,0,0,0,1,4,7,0,2,4,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Khagrachhari,5,7,0,0,0,9,0,,2,2,13,,0,2,,0,0,0,4,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Khulna,6,3,0,0,6,3,13,,4,2,8,,4,6,,4,0,0,1,,0,2,0,0,0,3,0,1,0,3,0,2,0,3,0,1,0,0,1,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Kishoreganj,0,0,0,0,2,0,0,,0,19,3,,2,0,,1,0,0,1,,0,3,0,0,0,0,0,0,1,0,0,1,3,3,3,8,2,1,1,33,0,0,77,23,22,0,16,0,7,0,0,3,6,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Kurigram,2,1,3,0,0,0,0,,2,4,0,,0,4,,12,1,2,3,,1,0,1,1,11,0,0,0,3,4,7,1,0,1,0,3,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Kushtia,6,6,11,8,4,0,0,,3,-2,2,,4,5,,2,0,0,2,,0,2,1,0,0,2,2,0,0,0,0,1,2,3,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Lakshmipur,0,1,0,0,36,0,0,,1,-1,0,,3,12,,1,-5,4,15,,15,1,0,8,2,3,0,2,1,1,0,6,0,1,3,3,0,1,1,1,0,0,4,3,0,17,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Lalmonirhat,0,2,0,0,1,4,0,,1,4,0,,1,2,,1,5,2,0,,2,0,0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Madaripur,21,9,0,0,8,0,11,,25,-1,1,,2,6,,2,0,0,4,,0,3,0,0,1,0,5,1,1,0,7,0,1,0,2,6,1,1,0,1,1,1,0,1,2,0,4,0,0,0,6,0,2,0,11,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
36,Magura,5,-1,0,0,1,0,1,,0,-1,1,,0,0,,0,1,0,4,,4,2,0,1,3,0,1,-1,0,0,0,1,1,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Manikganj,0,8,0,1,1,2,17,,34,10,11,,0,20,,9,0,0,0,,0,1,0,0,0,0,4,2,0,0,0,1,0,6,0,3,0,0,3,0,0,2,1,0,1,0,0,0,0,0,0,2,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Meherpur,3,7,4,1,1,0,0,,4,3,0,,0,0,,0,0,0,0,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Moulvibazar,0,-3,0,0,0,9,0,,1,27,27,,0,0,,2,0,0,1,,0,3,3,0,1,0,8,2,2,0,5,0,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Munshiganj,0,59,0,40,3,0,74,,0,149,32,,17,54,,32,0,14,66,,1,0,4,2,32,8,9,34,1,4,10,2,1,27,4,6,10,0,0,2,7,21,0,0,6,1,5,0,4,3,3,3,5,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Mymensingh,0,2,0,65,15,9,1,,19,5,24,,11,45,,11,8,14,16,,13,12,9,8,3,3,29,3,16,5,0,2,18,8,9,16,5,19,0,5,23,7,12,2,1,9,2,0,2,0,0,0,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Naogaon,15,64,13,0,0,0,1,,0,47,1,,8,0,,0,5,7,0,,0,8,1,0,7,0,0,1,0,0,1,0,0,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Narail,4,0,0,0,0,1,0,,0,2,4,,3,0,,1,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Narayanganj,6,90,0,113,27,1,110,,35,105,84,,74,45,,37,35,46,59,,43,45,21,41,58,6,17,34,14,20,21,43,60,14,150,74,31,28,34,24,39,82,1,77,20,34,41,50,20,37,24,8,16,13,46,15,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
